BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,METABOLON_ID,PLATFORM,KEGG_ID,CAS,RI,MASS,                                       HMDB_ID
1-arachidonoylglycerophosphoethanolamine*,Lipid,Lysolipid,35186,LC/MS neg,,,5731,500.3,
1-arachidonoylglycerophosphoinositol*,Lipid,Lysolipid,34214,LC/MS neg,C03819,,5479,619.4,
1-linoleoylglycerophosphocholine,Lipid,Lysolipid,34419,LC/MS pos,C04100,,5574,520.4,
1-methylimidazoleacetate,Amino acid,Histidine metabolism,32350,LC/MS pos,C05828,2625-49-2 ;,845,141.1,HMDB02820
1-methylnicotinamide,Cofactors and vitamins,Nicotinate and nicotinamide metabolism,27665,LC/MS pos,C02918,1005-24-9;,688,137.1,HMDB00699
1-myristoylglycerophosphocholine,Lipid,Lysolipid,35626,LC/MS pos,,20559-16-4;,5481,468.3,
1-oleoylglycerol (1-monoolein),Lipid,Monoacylglycerol,21184,GC/MS,C01885,111-03-5;,2181.2,397.4,
1-oleoylglycerophosphocholine,Lipid,Lysolipid,33960,LC/MS pos,C03916,19420-56-5;,5700,522.4,HMDB02815
1-oleoylglycerophosphoethanolamine,Lipid,Lysolipid,35628,LC/MS pos,,,5662,480.2,
1-palmitoylglycerol (1-monopalmitin),Lipid,Monoacylglycerol,21127,GC/MS,C01885,542-44-9;,2119.5,371.3,
1-palmitoylglycerophosphocholine,Lipid,Lysolipid,33955,LC/MS pos,C04102,17364-16-8;,5671,496.4,
1-stearoylglycerol (1-monostearin),Lipid,Monoacylglycerol,21188,GC/MS,C01885,123-94-4;,2186.6,399.4,
1-stearoylglycerophosphocholine,Lipid,Lysolipid,33961,LC/MS pos,,19420-57-6;,5844,524.4,
1-stearoylglycerophosphoethanolamine,Lipid,Lysolipid,34416,LC/MS neg,,69747-55-3;,6200,480.4,
1-stearoylglycerophosphoinositol,Lipid,Lysolipid,19324,LC/MS neg,C03819,,5800,599.4,
"1,3-dihydroxyacetone",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",35963,GC/MS,C00184,62147-49-3;,1263,103,HMDB01882
"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, gluconeogenesis, pyruvate metabolism",20675,LC/MS neg,C07326,154-58-5;,808,163.2,HMDB02712
10-heptadecenoate (17:1n7),Lipid,Long chain fatty acid,33971,LC/MS neg,,29743-97-3;,5558,267.3,
10-nonadecenoate (19:1n9),Lipid,Long chain fatty acid,33972,LC/MS neg,,73033-09-7;,5775,295.4,
