,LHC3265,LHC3630,LHC5838,LHC4662,LHC6065,LHC6075,LHC6334,LHC6500,LHC8114,LHC7548,LHC7747,LHC12434,LHC8179,LHC8331,LHC8405,LHC8479,LHC8548,LHC9512,LHC9519,LHC12379,LHC9790,LHC10248,LHC12285,LHC10668,LHC11472,LHC10864,LHC10740,LHC10744,LHC11541,LHC11291,LHC11246,LHC12644,LHC13163,LHC13707,LHC16879,LHC19885,LHC20017,LHC26470,LHC20645,LHC21062,LHC21090,LHC21273,LHC21276,LHC21318,LHC21965,LHC21881,LHC22529,LHC3264,LHC3661,LHC3631,LHC4333,LHC4663,LHC6066,LHC6076,LHC6335,LHC6501,LHC7549,LHC7748,LHC8126,LHC8010,LHC8254,LHC8180,LHC8332,LHC8406,LHC8480,LHC8549,LHC9525,LHC9513,LHC9520,LHC9769,LHC12380,LHC9791,LHC10249,LHC12286,LHC10693,LHC10669,LHC11473,LHC10863,LHC10741,LHC10745,LHC12025,LHC11292,LHC11262,LHC12645,LHC12163,LHC13216,LHC13528,LHC13708,LHC14458,LHC16880,LHC18382,LHC19270,LHC20018,LHC20020,LHC20644,LHC21061,LHC21091,LHC21167,LHC21274,LHC21275,LHC21319,LHC21966,LHC21882,LHC22530,LHC24028,LHC24818,LHC25689,LHC26666
X7892501,1.468324218,2.178220842,1.592963031,1.358872424,1.569757894,1.776748359,2.070552049,1.860020553,1.703021983,1.913254113,1.789646467,1.639585765,2.083845414,1.613996235,1.67729544,1.485793875,1.710924213,1.624601106,1.538939533,1.737691003,1.849347865,1.611863784,1.627624708,1.454308054,1.720012302,1.622092457,1.5886587,2.032635448,1.607326233,1.85463391,1.602967433,1.65683971,1.662123363,1.836231337,1.411603958,1.756536921,1.449859839,2.023942873,1.528945569,1.270952302,1.900652677,1.773392578,1.738379806,1.524903609,1.48750731,1.632683572,1.728365633,1.967657047,1.544253173,2.050497572,1.621824599,1.549455201,1.675173263,1.490820279,1.665837573,1.91806067,1.796772485,1.869335446,2.016667672,1.573364616,1.899426932,1.638006364,1.650982426,1.534557634,1.625837642,1.711520496,1.912169638,1.403011993,1.993574062,1.487012319,1.945870652,1.770218984,1.930768328,1.483509926,1.889614495,1.426625353,1.694686648,1.567315312,2.041342325,2.110440632,1.687280532,2.150529508,1.414418249,1.466020131,1.703250589,1.464597467,1.86827858,1.625832804,1.63327948,1.647288984,1.516254307,2.028630506,1.480204433,1.551372103,1.631498066,1.671326192,2.175079021,1.566462793,1.865820989,1.655027353,1.674810917,1.370971442,1.636343593,1.733255763,1.747967861,1.573058612,1.419716047,1.49045868
X7892502,2.356075849,2.264123138,2.396972385,2.399310954,2.396590424,2.448164718,2.438171254,2.266414751,2.358119982,2.387502539,2.364989397,2.452359615,2.153050711,2.490092523,2.43642675,2.10228505,2.381923226,2.464608352,2.562177162,2.467262764,2.400351713,2.352128613,2.443602621,2.359050667,2.355885206,2.372691737,2.502220624,2.346105162,2.441282323,2.464401261,2.326463337,2.383880486,2.30037054,2.366935352,2.361623924,2.424772126,2.385717353,2.352826746,2.37627794,2.417526008,2.334289067,2.282031881,2.298654135,2.393699817,2.34251546,2.453907312,2.272616814,2.333811599,2.478663268,2.429791268,2.352137239,2.254759246,2.333477143,2.254445863,2.412505041,2.390191053,2.227388074,2.421458093,2.304189332,2.419599178,2.429519379,2.250860693,2.446770158,2.569973842,2.422681868,2.439436707,2.567124093,2.477422136,2.507377658,2.436718333,2.390120661,2.528707236,2.320346264,2.492324994,2.319736979,2.343522788,2.39481963,2.308153257,2.416347928,2.455948122,2.388393467,2.50973247,2.341174393,2.323712545,2.32131253,2.165353713,2.481557094,2.523888458,2.500913531,2.459526849,2.305306367,2.352970134,2.395372292,2.366260073,2.419578462,2.263391975,2.30274537,2.353275094,2.366586197,2.30824389,2.381897277,2.450388336,2.435445798,2.385071601,2.400920723,2.373095267,2.419946228,2.268680124
X7892503,1.906450996,1.512670909,1.910561485,1.924753472,1.626164913,2.253223906,1.700718542,1.764536603,1.838964921,1.92931101,1.604594528,1.755596103,1.417269731,1.864004742,1.811106436,1.760468072,1.906665697,1.792718986,1.713184887,1.911487909,1.809144947,1.726801134,1.612521172,1.95804429,1.749765517,1.88655294,1.671124986,1.96842998,1.810158036,1.833038907,1.693049321,1.909201316,1.904729212,1.888518834,1.67599257,1.786981701,1.931961557,1.658716968,1.806703036,1.726290529,1.692250053,1.830091848,1.714129385,1.630967853,1.683744391,1.877167721,2.035121921,1.801577051,1.832321877,1.953857597,1.786107445,1.737623107,1.853115383,1.859573215,2.001255629,1.690395936,1.763606604,1.795485608,1.989244619,2.096094028,1.734891841,1.759455036,1.778473532,1.84368675,1.723830372,1.715177458,1.83742025,1.757169757,1.921666062,1.95320931,1.839697323,1.876815922,2.05214512,1.892257656,1.760368025,1.595612253,1.647422424,1.76793559,1.819400781,2.423638316,1.840331963,1.798745941,1.845764546,1.895795787,1.790325889,1.723898812,1.641202864,1.715083928,1.683231507,1.773104819,1.873747222,1.98210091,1.85459662,1.951289258,1.825237695,1.998924057,1.969585447,1.708824276,2.058612839,1.785006008,1.593770547,1.658660766,1.830225289,1.854727122,1.782749746,2.052790175,2.019770378,2.126530009
X7892504,3.350192172,3.285553436,3.197955284,3.228800077,3.241191005,3.2038759,3.239499235,3.243303094,3.282354039,3.254942316,3.315573606,3.187446539,3.230468115,3.274706726,3.241601171,3.245722214,3.235166278,3.249302345,3.236428488,3.271038019,3.250502699,3.226363435,3.250316308,3.173600419,3.327101586,3.299050951,3.194428486,3.243081335,3.208888686,3.264557957,3.275165985,3.258838886,3.207018556,3.2789405,3.243822717,3.276521543,3.296208182,3.321964488,3.252788893,3.182216985,3.221181059,3.231596279,3.218818697,3.237385202,3.318551516,3.27011032,3.312705103,3.302800301,3.358676162,3.261412388,3.212943592,3.262068416,3.235316979,3.276710062,3.316376655,3.239804147,3.318130925,3.297901672,3.256773447,3.307326195,3.309383572,3.217407064,3.217888472,3.249414184,3.276755648,3.27875079,3.260024123,3.199471563,3.302397975,3.314979231,3.246312214,3.274129379,3.240241621,3.218721758,3.314848429,3.284808201,3.261698375,3.275903014,3.228022322,3.345486438,3.303537613,3.211150741,3.248318039,3.306375002,3.267634309,3.469784074,3.293836558,3.235646938,3.248547731,3.237583903,3.198905679,3.238887065,3.333579692,3.285237187,3.257669393,3.249314047,3.235234254,3.223774543,3.182199657,3.206260732,3.31794444,3.248029353,3.232702246,3.249039022,3.231247621,3.299801036,3.209857034,3.341897351
X7892505,2.388654598,1.934437381,2.239728105,2.055243266,2.209192455,2.034212348,2.136753699,1.772534683,2.012419639,2.202159932,2.331932747,2.138697851,2.570028788,2.1903813,1.942912773,2.12805642,2.317294087,2.292375712,1.985704514,2.108801925,2.01332263,2.211653423,2.195843416,2.051468964,2.070032831,2.284742362,1.887445931,2.000246695,2.309717793,1.91918999,2.123410818,2.374322759,2.060448645,2.046408619,2.362730655,1.915218047,2.134077573,2.10145482,2.595234034,2.318919382,2.184781086,2.015359672,2.209066064,2.028428407,2.067088853,1.876537873,2.168144685,2.126492637,2.166802611,2.27583134,1.926896429,2.330561349,2.141004038,2.289377508,2.3340491,2.192192529,2.008591673,2.29220953,1.98122388,2.334982287,2.028096134,2.129998601,1.841390276,1.968681115,2.080963564,1.867026408,2.190163403,1.766461632,2.081454357,2.166042124,2.098180338,2.246475049,2.071764033,1.785794666,2.11864869,2.217462976,2.224046752,1.876551659,2.037258526,2.124566106,1.983190687,2.086651088,2.198312307,1.837828476,1.930749711,2.222379809,1.881989192,2.127616654,2.028586197,2.190064374,1.958831395,1.915277521,1.867654117,2.202072427,2.224712788,2.383638648,2.088093864,2.273414752,2.110095767,2.132168459,2.095629858,1.935465329,2.223400318,1.964373758,1.809467454,2.322503303,2.284427688,2.127724533
X7892506,1.988050416,2.177373078,2.039854304,2.107745914,2.022147551,2.177162519,2.074023948,1.955765005,1.86995135,2.08120793,1.983881915,1.970897187,2.067052574,2.25367022,2.335840633,2.369354255,1.808520699,2.316181628,2.174532834,2.121827418,2.125280724,2.181466553,2.043665663,1.937200401,2.011350487,2.124614043,2.093805347,2.390434075,2.387238246,2.36039932,2.24187989,2.12976138,2.04487225,2.079821131,2.226051992,1.888062346,2.204319508,2.478430113,2.304836297,1.809563936,2.118862945,2.154303056,2.106616485,2.108310651,2.053652335,2.288731821,2.020326201,2.04572277,2.086413927,2.189456205,1.988056572,1.821882719,2.128050334,1.846866963,2.07073286,2.1614125,2.275212508,1.921355236,1.908447238,2.129654588,1.935898656,1.975146291,2.058308093,1.964606623,2.013104116,2.210026786,2.220135229,2.072901909,2.081495022,1.980205559,2.020941728,2.241331736,1.857864246,1.763939133,2.176052492,1.970731467,2.00614521,1.910596342,2.058567516,1.865271732,1.87191479,2.205070025,1.906975894,2.007939492,1.98190339,1.843823172,2.19952378,2.091288339,1.933568272,2.110171312,2.065651208,1.950080671,2.027802811,1.934743257,2.0262131,1.883656029,2.227254979,1.800924243,2.273764003,1.785991015,2.064889439,1.888134001,2.024102481,2.008303069,1.995410481,2.179986171,2.072228734,1.803540383
X7892507,2.641324795,2.601395776,2.722952043,2.65674788,2.523376484,2.64086031,2.637801817,2.675715146,2.61584136,2.526119904,2.732754024,2.335607199,2.536034094,2.663246958,2.60544686,2.705134679,2.587234814,2.591073098,2.611188561,2.697851173,2.559906898,2.671382756,2.477916488,2.476459275,2.591899675,2.570804091,2.506155998,2.649357242,2.584017308,2.587859311,2.509281422,2.458170923,2.631814802,2.731946485,2.663657962,2.617706199,2.507483665,2.567599123,2.76913432,2.511145537,2.771704907,2.681050041,2.546684812,2.692908474,2.710128227,2.696268814,2.691350559,2.712652009,2.378688036,2.682743848,2.638334432,2.739786661,2.607523414,2.672550042,2.439500915,2.617547653,2.668147577,2.595949846,2.724614362,2.562547075,2.761929052,2.574506627,2.839105197,2.546909039,2.614119856,2.591542127,2.576593976,2.629375391,2.774832583,2.664008414,2.672863475,2.649171607,2.759650854,2.644459368,2.79124946,2.575941428,2.641507338,2.732040867,2.803030436,2.818301188,2.520846876,2.60783195,2.362618987,2.604181991,2.605552766,2.427237428,2.643704458,2.793364807,2.745554228,2.771739101,2.72473541,2.758357973,2.56054665,2.68649573,2.638726134,2.782374447,2.758437877,2.806404366,2.764131745,2.538005735,2.572593769,2.5012833,2.719072683,2.599576241,2.493827283,2.741643517,2.821960769,2.733732663
X7892508,2.162685298,2.501470766,2.787537253,2.64522266,2.684177238,2.865292038,2.904751125,2.678058463,2.816506386,2.64346843,2.452148577,2.866752825,2.674166209,2.646686464,2.723083302,2.273893479,2.864889722,2.74993277,2.882796363,2.775002999,2.823295527,2.812200057,2.743637374,2.879622945,2.803351923,2.863286464,2.697342579,2.670746485,2.716181958,2.87670671,2.672763146,2.950317145,2.573086639,2.886066959,2.76885456,2.785508249,2.951275375,2.328939934,2.519081971,2.62105672,2.667266102,2.672173652,2.782032539,2.867944894,2.53898806,2.801838109,2.746111618,2.863329137,2.523349274,2.768696002,2.69376282,2.721221756,2.98048401,2.473324834,2.692907989,2.708925387,2.894761365,2.73231939,2.752182552,2.71482557,2.929631538,2.620761776,2.813441233,2.711529674,2.903200507,2.677288685,2.948109506,2.807520512,2.91360142,2.810287265,2.910654266,2.88317012,2.922209218,2.804027716,2.713112165,2.682690276,2.65608326,2.717875192,2.783694822,2.804499044,2.798070314,2.957777802,2.708834505,2.875211676,2.744729163,2.51564813,2.856592354,2.862498956,2.924821673,3.028812493,2.597661838,2.781359905,3.128375098,2.477228916,2.751527044,2.46104906,2.554618532,2.778989371,2.659443045,2.819593751,2.71911099,2.63906129,2.819764885,2.892073307,2.848772222,2.820538362,2.573228541,2.765731178
X7892509,3.259185227,3.429958847,3.405161209,3.357416039,3.367756187,3.414858378,3.430376116,3.415613876,3.387602502,3.398938958,3.416722256,3.363082295,3.274576199,3.351496293,3.394159457,3.34255531,3.369450316,3.290725613,3.29771833,3.300769335,3.338336819,3.290548197,3.373036346,3.348904169,3.370551588,3.350632492,3.385040358,3.443342254,3.38962547,3.396753738,3.343083177,3.354815459,3.356842756,3.472458206,3.357483055,3.407314572,3.402135226,3.39065151,3.399610005,3.322792623,3.459486318,3.387617958,3.435439425,3.357784407,3.345353421,3.43764938,3.364866777,3.392498994,3.283997006,3.487801441,3.433679102,3.376586619,3.507290141,3.445642695,3.434094863,3.470391629,3.548271428,3.425855554,3.531626075,3.310752887,3.347935669,3.258144395,3.505352082,3.379344565,3.406186279,3.325614639,3.397981181,3.305963349,3.428118734,3.393647054,3.395585497,3.41083488,3.452616439,3.358019503,3.448855674,3.336869282,3.35599665,3.247270797,3.419518991,3.480729207,3.367425122,3.453619573,3.405087387,3.33122605,3.338456625,3.171807275,3.474676302,3.476781481,3.331044599,3.492972086,3.309028665,3.399915448,3.404554936,3.346163588,3.353345772,3.366531317,3.485036959,3.308467313,3.380927219,3.355349728,3.395897658,3.349136405,3.464149003,3.397801555,3.387294113,3.378900084,3.472953238,3.366540089
X7892510,2.110198009,2.382941596,2.550974842,2.405846533,2.242493157,2.524283125,2.407574539,2.58040771,2.346421881,2.256941859,2.107358938,2.631196446,2.537509858,2.368745654,2.398456879,2.555996042,2.611776846,2.627381616,2.809540229,2.650668538,2.60446184,2.474933942,2.638415953,2.643991109,2.339726365,2.383910584,2.42970507,2.614496877,2.609045094,2.458171692,2.188222758,2.726060714,2.560488328,2.451200015,2.484481479,2.332127324,2.662958042,2.167902749,2.496281853,2.111037074,2.022504875,2.348023154,2.666348857,2.770935679,2.413086669,2.274256353,2.257655155,2.361473501,2.110092389,2.465735843,1.902875447,1.902450402,2.436474683,2.258272997,2.163958993,2.500504233,2.496516528,2.387640728,2.235350974,2.184478061,2.187850976,2.466612526,2.315671754,2.352249862,2.154571202,2.49491174,2.608936822,2.620719311,2.211793205,2.250727744,2.372972954,2.474108726,1.911924917,2.59506404,2.35458126,2.350280775,2.489918529,2.222905129,2.518250188,2.322023193,2.244858631,2.553959374,2.368834715,2.339379255,2.473650221,2.061383166,2.011345223,2.097161696,2.582193042,2.440512636,2.519079478,2.951760436,2.346705627,1.842013043,2.576670927,2.54221914,2.160767395,2.338205781,2.323647717,2.600538162,2.280167309,2.588068544,2.139965398,2.436652171,2.140327062,2.425224857,2.559846759,2.038482888
