"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"ZRSR2",7.54225812716472,7.85673681835789,6.30378093079672,6.84046335975916,7.31741270421597,7.34429599669705,7.23935994575695,8.17192740437756,7.24697815459135,6.89239114735237,6.80090002930999,7.11997871337127,6.98413370849793,6.80735505086966,6.72383170298491,7.39489145216421,7.9553593633693,7.18289099203626,7.23553570244337,7.97842452264526
"PM20D1",4.87282925192219,5.33628374496712,5.87282900572856,5.58195405203773,5.71424579246515,5.8021934754893,5.50143946363456,5.24792789310013,6.02236803498152,5.52982125880032,5.91408633626561,5.48542714920035,5.70043999558242,5.81249848204084,5.79181433157607,5.74685045175632,5.2555011108172,5.75755695561134,5.47248809639402,6.00674705680994
"FGF16",4.39231810977624,5.33628374496712,4.84799740749064,4.56681576274285,3.92600036769739,5.28169862097154,3.48542811529024,5.13339953644137,3.95419724115757,3.57289088076885,4.04439499371882,4.77610451460411,5.27798511912834,5.18586694165607,5.14974752589759,4.73876837713531,4.84297933446944,4.72246657094638,3.98185356638758,5.94485868001126
"SPAG1",5.48864386116668,4.19377253175441,5.04875974777932,4.38543172747806,6.75087457361181,5.9541965430796,5.2555011108172,6.23649280972015,5.89724066763771,4.82273065773066,5.84549030184784,5.12928342914349,5.3957486708619,5.5422583593581,4.52982157107187,4.58496310184396,4.41278220265993,5.40939127559532,5.62643942874082,5.5789390149124
"ADAMTSL4",5.38543138233583,4.23266152418105,7.56376835470441,5.36106683981497,7.42038142541701,5.91886347573656,9.38629365670949,5.23266114048571,7.30924905178099,5.46270707781185,9.82972275093985,5.36106683981497,5.44625656078288,6.47735368855319,9.39231744424744,6.39059907750657,4.73335488298028,5.63517423695559,8.42668412377624,5.92362484904458
"DLG4",3.93546069074292,4.41953956567019,4.80219373403673,4.00898967931085,3.5484378577682,3.16992660443591,2.56071739971824,4.45285962347852,4.24031509266422,3.39231879677338,3.87774523137387,4.51727632320728,2.58496490521089,4.26303515723727,3.58496370296652,2.63227054242512,4.35755270837159,3.83794425076833,2.56071739971824,4.75488803649487
"NBEAL2",4.48542747123038,5.70873931720946,6.07895155481123,6.02680028061594,4.78659688460631,6.11686396557201,6.89965914720617,7.81762332146068,5.16188808536428,6.04657858487977,6.03121895120628,4.6496160338422,4.84297933446944,5.554589158634,6.24031452016638,4.47248842132523,6.33270811263502,3.00000180336767,7.39660486680174,5.97039376800956
"ZBTB18",8.78953367757364,9.07119420552305,8.23170124702285,8.15127033953568,8.45491617862894,4.16188848835155,5.4025860992952,3.56071617709688,8.81602367183809,8.82559488126182,8.670656284522,6.73064009176378,5.67525166837803,8.83352266804895,8.09486948548735,5.23649300105898,7.07788397122552,6.82908857089099,4.96809121297012,4.54225866894921
"SPRY4",7.48381585786174,6.24031452016638,6.37677674549248,6.93781528647838,7.90989314375736,9.40705529635117,7.79246502505414,7.21529040273703,8.86943964937817,6.40429023477482,7.45121119427204,6.55151617143345,7.19377184194142,8.96664967094194,7.16390131442089,9.11971932130001,7.4822030069836,8.44003864203504,8.07841775502118,6.97842457984966
"SELM",8.06339513522103,0.848004921505136,6.81506314531853,1.58496730969661,9.31696030998476,6.46597462770486,3.6438573439303,0.485437132098016,6.92243585916925,0.485437132098016,1.63227286934698,4.02680094443243,3.15380695708379,7.61544579887414,3.63226937896279,4.89724090970057,2.90689251920062,3.57289088076885,4.93073781057758,8.4622978064432
"NHLRC3",5.46597479090563,6.1977083545083,5.963474355176,5.71149518197354,4.90207406181736,5.86046650682954,5.44956170474936,5.20945375554648,5.95884290718776,6.1333993309293,5.56681545837691,5.77082931026233,5.94953516646279,5.63226850636542,5.70043999558242,5.33985035910558,5.7839806755159,6.03562412965373,5.24792789310013,5.82273040283761
"FAM174B",4.04439499371882,4.2094541454639,4.21723149186296,3.99095576775208,3.6780730322177,4.79181459199027,3.81762428069904,8.27984273993911,4.90689107650679,5.24792789310013,4.31469725062849,6.07467690034419,4.66675715987486,4.60288500241996,4.15380614658164,3.76553580716776,8.84705737742022,6.04439433794859,2.86789844028588,7.68439805377345
"CCDC91",7.27146312128269,8.10852450904973,6.46597462770486,7.41785259925403,7.41023941559054,5.52356226968634,7.73335440840965,7.21042792781506,6.23266094863801,6.65248663832721,6.96924271957376,7.36981551150852,5.60880953830972,6.48058843178985,6.37677674549248,6.2307411947301,5.61471013854274,7.19770825623208,7.05311144509623,6.86913124305704
"TRADD",1.53605787504212,2.76553686797177,2.58496490521089,2.96347597358273,2.60881160774742,2.72246821037101,4.98185310983873,4.54843724123225,2.76553686797177,3.32192953758168,2.74416324884498,2.51096445031909,2.51096445031909,2.58496490521089,2.84799891029667,3.24792903206915,3.45943293017765,2.40599508173938,4.16188848835155,1.9634778231882
"DLAT",7.11061390989272,7.37068749397912,6.79830991207679,7.5591859422827,6.7059780398717,7.44708330888558,7.37068749397912,5.8099291228863,7.24222149038866,6.21140183211415,6.97039365296212,6.0552826524478,6.93781528647838,6.84423511331967,7.56757594457551,6.47086236206251,7.41700867120627,6.21916871411249,6.78528911150139,7.23744909124535
"MFAP5",3.56071617709688,3.18586813068963,4.39231810977624,4.17791858926471,6.28725082797868,9.43483671536196,4.24031509266422,2.16992820742773,4.16992580293933,0.584972118656036,5.21334767059998,1.37851717207014,5.73876810696778,2.58496490521089,5.14567786273655,4.06177706147568,3.87774523137387,6.00898900724821,0.485437132098016,3.41954023982628
"BRD3",7.94836728999338,7.63952167186264,5.93310071105165,7.49345528098694,6.89117624629582,1.6780764135276,7.5591859422827,8.01736526097374,6.74953440174872,5.66106576492452,7.24222149038866,7.37764444515246,6.2384049304105,7.09064185776487,7.05093707402575,6.82527695727665,7.81121418174721,6.63952174421444,6.08958310497419,7.00562466146586
"CALML5",2.26303741144533,2.51096445031909,2.03562742849482,2.43296207893112,3.90689155740489,1.92600321511712,2.45943424171681,3.71149600794359,3.32192953758168,1.63227286934698,1.84800091403561,2.35050007589517,1.07039619785143,0.848004921505136,2.26303741144533,1.9634778231882,2.48542940340909,1.58496730969661,1.76553898957745,1.9634778231882
"BAALC",4.99548497113294,4.58496310184396,4.66675715987486,4.62058699691316,5.56681545837691,4.88264353841092,4.57893931673135,4.9541967757723,4.73335488298028,4.91647712215123,5.1251555447019,4.64385676685263,4.97728038149827,4.66106605004203,4.98641139036082,5.46270707781185,4.59096183997112,5.75488776932919,4.76553527676547,4.78136023814094
"C8orf82",9.20163388567194,6.29645759092022,8.44460085512066,6.24792770327187,7.85922422410977,7.02125773162249,6.98071094312782,8.27332943319047,7.35843151654195,8.17192740437756,8.88722064593713,7.1729275895827,8.88447584961325,8.56871622672738,9.02569330136103,9.39574834959672,6.56071510730234,8.06716548080887,7.62935669294299,8.08268135616669
"BZRAP1-AS1",3.39231879677338,5.75755695561134,3.24792903206915,5.71149518197354,2.29278469350044,2.00000360673309,5.53605321116583,1.6780764135276,2.53605538764331,6.76950742367226,1.8875291699121,3.52356321057389,3.72246711742147,1.80735904403755,4.43296007519032,2.84799891029667,5.77082931026233,3.58496370296652,6.64096805500851,4.78136023814094
"PCDHB19P",3.5484378577682,3.29278322136489,3.65535297360816,3.7441621722081,3.49825214424854,3.8678974521396,3.57289088076885,2.98185447948484,2.96347597358273,2.26303741144533,3.33628481627466,2.92600131683792,2.20163699745981,2.20163699745981,2.96347597358273,2.60881160774742,3.30742998245923,1.92600321511712,2.63227054242512,2.60881160774742
"LOC100288911",1.26304041705061,0.678080921928466,5.91647688329449,0.926007011668035,4.56681576274285,1.00000721345717,0.926007011668035,1.07039619785143,3.36457383296997,2.32193098027456,4.73876837713531,3.36457383296997,5.08321379382268,5.75221363552654,5.01346270646131,2.0703927628755,1.07039619785143,0.848004921505136,1.72247039626762,3.85798199008933
"OOEP",4.1292838413419,4.06177706147568,7.52982102459661,3.89724139382618,2.56071739971824,3.29278322136489,3.78659740732162,4.36457313263308,4.63226879723127,5.244126323942,3.80735595255369,3.9448593826222,5.15380574133039,4.93546021927418,4.96347458637707,5.36457278246451,4.01792279854948,4.62643972078426,4.82273065773066,3.59693633469669
"ACTG2",2.10434001491558,2.13750680259857,2.70044193767022,1.72247039626762,1.6780764135276,1.20164013374315,2.0703927628755,1.13751008143976,3.39231879677338,3.29278322136489,2.0703927628755,2.45943424171681,2.29278469350044,2.35050007589517,2.65535411860286,2.78659845275167,1.8875291699121,1.32193386565598,2.82782105658073,1.84800091403561
"FAM81A",2.72246821037101,2.43296207893112,3.51096318479879,2.32193098027456,2.48542940340909,2.29278469350044,2.43296207893112,2.43296207893112,3.40599372070825,3.03562566911384,3.32192953758168,3.05311307464531,2.13750680259857,3.23266229157142,3.18586813068963,3.75488857082607,2.3785143976646,3.08746453853762,2.82782105658073,2.48542940340909
"COL6A3",6.67101038285794,3.08746453853762,1.72247039626762,2.43296207893112,12.2203480978988,2.32193098027456,8.20994072901343,3.80735595255369,5.90207382056407,4.82273065773066,2.40599508173938,4.41953956567019,1.84800091403561,2.43296207893112,2.43296207893112,5.48542714920035,1.9634778231882,1.92600321511712,10.2852866252274,2.82782105658073
"IER3",10.9544144506177,6.56071510730234,10.9864820513674,6.73606376320905,11.5730317382828,9.64078721892811,7.71493242045275,11.2774617743377,11.688818535998,6.64673884228938,10.9560857084929,8.18982460828738,10.0746766996726,10.6216856158832,10.8785107923739,10.4965542348159,6.5499772967414,11.5465568963008,8.95652139237287,9.76304635602383
"PEX19",6.17990928900734,6.0552826524478,7.77741978127221,6.17392713181905,5.40599269993406,6.61323710208048,7.09064185776487,5.73064022761075,7.14974722110292,6.37330037063673,6.20945356058773,6.1977083545083,6.71424565506564,7.09803218826673,6.30195357797717,7.42542581851711,6.02236803498152,6.44294366167574,8.21431916937636,7.7428147372156
"PCOLCE",5.6438564783137,4.48542747123038,4.28540295870567,3.90689155740489,10.5512276132131,4.60288500241996,6.29645759092022,5.60288470556922,4.93546021927418,4.99095531407461,6.54380533059408,4.89239151166923,4.99095531407461,4.30742925382592,6.47411167622531,3.58496370296652,4.4059930401922,4.38543172747806,7.4602511808686,4.14567827027735
