"","BT-549","CCRF-CEM","DU-145","HL-60(TB)","HS 578T","IGROV1","K-562","MCF7","MDA-MB-231/ATCC","MOLT-4","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","SK-OV-3","SR","T-47D"
"(p-Hydroxyphenyl)lactic acid",-3.79585928321977,-3.79585928321977,-1.13606154957603,-2.14347902113851,-0.592194069952232,-0.203125416815109,-0.572751416770282,0.325770161181757,-0.738569479868796,-0.809279798982096,-0.520769438793664,-3.79585928321977,-3.79585928321977,-0.988504361162171,-0.763660460831626,-3.79585928321977,-1.188803011648,-0.749846885462938,-0.0867116331933308,0.828631581688019
"3-phospho-d-glycerate",0.418999465431266,-5.38082178394093,0.057045856535967,-5.38082178394093,0.147523792308788,-0.79836613883035,-3.26997601525264,-0.0624045078507195,-0.938799843563262,-5.38082178394093,-1.46195854666634,0.239194343007673,-0.0558912008920452,1.46327368493169,-0.760398288631329,-0.0469210473874926,-5.38082178394093,3.55794101077137,-3.07501335441685,0.973550052279381
"5,6-Dimethylbenzimidazole",-0.846843211938579,-2.58207999218803,2.06947304012424,-0.584241333477502,-3.96578428466209,-1.3646325458416,0.17802406415942,1.8481304832451,0.274609556096091,-1.02034044828418,-1.79252357065652,1.72654061474711,-1.23333417161837,-0.922301245246062,-1.13078660753535,-0.565616411916344,-1.08110496814373,2.30149009800172,-0.00288827932482651,0.841033820629923
"5-oxoproline",0.297484915710575,0.12212049105055,-0.209227962138,-0.0694518807521452,-1.05989590864295,-0.226003674888827,1.7057567820498,0.399079925375868,0.651377038447218,0.76355321651429,-1.54091816801513,-0.0608988249439454,-1.3933998500204,-0.466602774768099,-0.537424111957796,-0.848574100017696,-0.0454314292470058,1.29885378945424,1.38183708390605,0.573697674625342
"adenine",-0.611902327917072,-0.203125416815109,-3.81603716515741,-1.46063436571895,-3.81603716515741,-1.07400058144378,0.799916202989014,-0.313536824628222,-0.409278229990159,0.402358365208098,-3.81603716515741,0.862881143640929,-2.94712044039705,-2.61705613043101,-3.81603716515741,-0.807595391270743,-1.71311885221184,-0.182786075741673,0.492964077963913,-0.505669733448303
"alanine",-0.669632824708147,-1.70368943929191,0.119909463735197,0.151425899982304,-1.27462238010901,-0.377069649079823,-0.096961729887088,-1.55497963450544,-0.287477585010582,1.38239058287347,-0.564904848379903,1.08133962745194,-1.02131623123709,-1.5200796491363,-0.740175150642096,-1.17136841831198,-0.147734761808246,-0.314134585167492,0.0454429707611671,0.531069492725954
"alpha-D-ribose 5-phosphate",3.41751500288509,-3.608232280044,1.03749936666157,-3.608232280044,0.111476519934597,-1.78587519464715,-3.608232280044,-1.70055994773747,-3.608232280044,-3.608232280044,-0.88718868116597,-0.640104054913617,-2.76284422599181,-1.68501351453148,-1.57060720774409,-1.72897280341268,-2.57633219557772,2.39588539483069,-3.608232280044,-0.805072461381109
"anthranilic acid",-1.23333417161837,-2.88896868761126,0.17291415902674,-2.88896868761126,-0.386468347082073,-0.416320465162317,-1.37582110288256,0.142304510013756,-0.367111403910025,-1.8800905362648,-0.535331732996556,0.347098670622268,-0.894321922105463,-0.757143476103836,0.16178021505658,-2.47126200155643,-1.17028572029427,-0.19319478076516,-0.407363571393423,0.604703945928894
"arabinose",1.1514258999823,-3.0350469470992,-1.26997601525264,-3.0350469470992,-0.949904670995942,-3.0350469470992,-3.0350469470992,-2.08110496814373,-3.0350469470992,-3.0350469470992,-0.87655451723756,-2.14986734910106,-3.0350469470992,0.130491626394562,-3.0350469470992,-3.0350469470992,-3.0350469470992,0.252577133658247,-3.0350469470992,0.411426245726465
"arginine",-0.0444392042829368,-1.32795188251513,0.346342342929513,-0.933279320089047,-0.643856189774725,-0.79002683791762,0.126532405928932,-0.0862010350493038,-0.520769438793664,0.0463746434063255,-0.606034724339757,0.773715070594074,-1.00578235259401,-1.54512223618937,-0.63486740654747,-1.37457363627575,-1.02816525412841,0.0384361816561079,0.0313951962755343,0.289637765328423
