,genesymbols
7892501,NA
7892502,NA
7892503,NA
7892504,NA
7892505,NA
7892506,NA
7892507,NA
7892508,NA
7892509,NA
7892510,NA
7892511,NA
7892512,NA
7892513,NA
7892514,NA
7892515,NA
7892516,NA
7892517,NA
7892518,NA
7892519,NA
7892520,NA
7892521,NA
7892522,NA
7892524,NA
7892525,NA
7892526,NA
7892527,NA
7892528,NA
7892529,NA
7892530,NA
7892531,NA
7892532,NA
7892533,NA
7892534,NA
7892535,NA
7892536,NA
7892537,NA
7892538,NA
7892539,NA
7892540,NA
7892541,NA
7892542,NA
7892543,NA
7892544,NA
7892545,NA
7892547,NA
7892548,NA
7892549,NA
7892550,NA
7892551,NA
7892552,NA
7892553,NA
7892554,NA
7892555,NA
7892556,NA
7892557,NA
7892558,NA
7892559,NA
7892560,NA
7892561,NA
7892562,NA
7892563,NA
7892564,NA
7892565,NA
7892566,NA
7892567,NA
7892568,NA
7892569,NA
7892570,NA
7892571,NA
7892572,NA
7892573,NA
7892574,NA
7892575,NA
7892576,NA
7892577,NA
7892578,NA
7892579,NA
7892580,NA
7892581,NA
7892582,NA
7892583,NA
7892584,NA
7892585,NA
7892586,NA
7892587,NA
7892588,NA
7892589,NA
7892590,NA
7892591,NA
7892592,NA
7892593,NA
7892594,NA
7892595,NA
7892596,NA
7892597,NA
7892598,NA
7892599,NA
7892600,NA
7892601,NA
7892602,NA
7892603,NA
7892604,NA
7892605,NA
7892606,NA
7892608,NA
7892609,NA
7892610,NA
7892611,NA
7892612,NA
7892613,NA
7892614,NA
7892615,NA
7892616,NA
7892617,NA
7892618,NA
7892619,NA
7892620,NA
7892621,NA
7892622,NA
7892623,NA
7892624,NA
7892625,NA
7892626,NA
7892627,NA
7892628,NA
7892629,NA
7892630,NA
7892631,NA
7892632,NA
7892633,NA
7892634,NA
7892635,NA
7892636,NA
7892637,NA
7892638,NA
7892639,NA
7892640,NA
7892641,NA
7892642,NA
7892643,NA
7892644,NA
7892645,NA
7892646,NA
7892647,NA
7892648,NA
7892649,NA
7892650,NA
7892651,NA
7892652,NA
7892653,NA
7892654,NA
7892655,NA
7892656,NA
7892657,NA
7892658,NA
7892659,NA
7892660,NA
7892661,NA
7892662,NA
7892663,NA
7892664,NA
7892665,NA
7892666,NA
7892667,NA
7892668,NA
7892669,NA
7892670,NA
7892671,NA
7892672,NA
7892673,NA
7892674,NA
7892675,NA
7892676,NA
7892677,NA
7892678,NA
7892679,NA
7892680,NA
7892681,NA
7892682,NA
7892683,NA
7892684,NA
7892685,NA
7892686,NA
7892687,NA
7892688,NA
7892689,NA
7892690,NA
7892691,NA
7892692,NA
7892693,NA
7892694,NA
7892695,NA
7892696,NA
7892697,NA
7892698,NA
7892699,NA
7892700,NA
7892701,NA
7892702,NA
7892703,NA
7892704,NA
7892705,NA
