"","LHC3265","LHC3630","LHC3660","LHC4662","LHC5838","LHC6065","LHC6075","LHC6334","LHC6500","LHC7548","LHC7747","LHC8009","LHC8114","LHC8179","LHC8232","LHC8331","LHC8405","LHC8479","LHC8548","LHC9512","LHC9519","LHC9524","LHC9768","LHC9790","LHC10248","LHC10668","LHC10692","LHC10740","LHC10744","LHC10864","LHC11246","LHC11291","LHC11472","LHC11541","LHC11854","LHC12162","LHC12285","LHC12379","LHC12434","LHC12644","LHC13163","LHC13527","LHC13707","LHC14470","LHC15120","LHC16879","LHC18476","LHC19271","LHC19885","LHC20017","LHC20645","LHC21062","LHC21090","LHC21166","LHC21273","LHC21276","LHC21318","LHC21881","LHC21965","LHC22529","LHC24027","LHC24817","LHC25688","LHC26470","LHC26665","LHC3264","LHC3631","LHC3661","LHC4333","LHC4663","LHC6066","LHC6076","LHC6335","LHC6501","LHC7549","LHC7748","LHC8010","LHC8115","LHC8126","LHC8180","LHC8233","LHC8254","LHC8332","LHC8406","LHC8480","LHC8549","LHC9513","LHC9520","LHC9525","LHC9769","LHC9791","LHC10249","LHC10669","LHC10693","LHC10741","LHC10745","LHC10863","LHC11262","LHC11292","LHC11473","LHC11855","LHC12025","LHC12163","LHC12286","LHC12380","LHC12645","LHC13164","LHC13216","LHC13528","LHC13708","LHC14458","LHC15121","LHC16880","LHC18382","LHC18477","LHC19270","LHC20018","LHC20020","LHC20644","LHC21061","LHC21091","LHC21167","LHC21274","LHC21275","LHC21319","LHC21882","LHC21966","LHC22530","LHC24028","LHC24818","LHC25689","LHC26666"
"1-arachidonoylglycerophosphoethanolamine*",-1.49561757657104,-0.843517950424822,-0.462290444443686,-1.74103009629884,0.324764528591632,-1.72536977165132,1.09335734629474,-1.44438799582319,-0.231779250942038,1.38537581335991,-1.74103009629884,-1.43921853637197,-0.649339822441267,-1.74103009629884,0.0105220637579072,-1.74103009629884,0.869531908578572,-1.55870775923859,-1.74103009629884,-1.74103009629884,0.913829595093496,-0.933102093455774,-1.74103009629884,-0.689436511641801,-1.23254859161121,0.913844909921031,1.56335828740299,-0.844522755219913,0.160261921328093,-0.0672660303261748,-0.0783260325609352,-1.74103009629884,-1.03369357731334,0,-0.931444747129349,-1.74103009629884,0.487753871412614,0.921314450681119,-1.50638135626826,-1.74103009629884,0.987415465781154,0.523130337503832,-1.46642867836343,-1.33426888114917,-0.880202946944781,0.00108161572545145,0.202474143091631,0.521623679685229,-0.321010472055414,-0.426051612255317,-1.74103009629884,0.426940985310291,1.24375437291591,0.891333633660111,0,-0.0966346532241444,0.311898320248412,-0.0721839299425109,-0.816037165157405,-0.0106008222259557,0.326962960923553,-0.0952808510705098,0.812333923304415,0.0251280428248988,-1.74103009629884,1.31877958657589,2.06480699086455,-1.74103009629884,-1.00054832830452,-1.74103009629884,0.667992009391325,1.04384141758224,-0.232441808365472,0.919881587402645,1.76427820598923,-0.454549513014337,-0.350927234277592,-1.12495287063949,-1.07431649031138,-1.63376116719344,1.13926646874171,-1.60773094266569,0.0926945699319145,1.11153883802885,0.94809992858406,-1.3812802130051,0.46172761041577,-0.621324140813329,1.28367290816793,-0.442232129555763,-1.50659040240807,0.688815944537329,-1.10925604354117,2.55949181320504,0.929488037818095,1.94546537422019,-0.502613476301229,0.712173144256479,1.1750582645755,0.17972759751292,0.276043984418917,-1.69008809759034,-0.96541238778463,-0.311753384170854,0.351944873222604,-1.74103009629884,0.797195638450103,2.56729475516694,0.725601569278736,0.043036473054072,-1.74103009629884,0.72555794550099,-0.527689002002483,0.395095712336997,-1.17400602090638,0.200115095940384,-0.988261070013575,1.85124732100072,-1.12515425668869,-1.32676923672199,2.67987189634811,-0.815346462475974,0.352329154876255,0.304511041809953,-0.0010882023646963,1.05826800082483,-0.478703975527092,-1.74103009629884,-0.0152721284001655,1.19836842310252,-0.742395524152838,-0.348270903642775
"1-arachidonoylglycerophosphoinositol*",-1.28124603608435,-1.28124603608435,-0.757996340593634,-1.28124603608435,0.169706977718371,-0.986436263789194,-1.28124603608435,-0.0137580110432934,-0.267279282645883,0.127369146616222,-1.28124603608435,-1.28124603608435,-0.0861918459381807,-1.28124603608435,-1.05830170443574,-0.568721509806608,0.651242315302577,-1.28124603608435,-0.24275481748089,-1.28124603608435,-1.28124603608435,-1.28124603608435,-1.28124603608435,-0.898761412855532,-1.28124603608435,-0.00158350517132922,-0.338721039931871,0.675129415286322,-1.28124603608435,-1.28124603608435,-0.494230993312572,-1.28124603608435,0.0517340352903714,-1.28124603608435,-1.28124603608435,-0.680123143771987,-0.274262333012083,-1.28124603608435,-1.18734241957418,-0.661364509342178,-1.28124603608435,-1.28124603608435,0.0263043243519085,-0.556868667535873,-1.28124603608435,-1.28124603608435,0.16989935330249,-1.03336872115768,0.0285691521967709,-1.28124603608435,-1.28124603608435,0.799990780357037,1.49901669699333,0.0893218709389688,-1.28124603608435,-0.158063904684216,0.00479619324907906,-1.28124603608435,-1.28124603608435,-1.28124603608435,-1.28124603608435,0.52716043856546,-0.207069704387143,-0.0429992118962795,-1.28124603608435,-0.0273499842372062,3.69692859032465,-0.669854677163761,0.507820006042353,-1.28124603608435,1.83769705474021,1.32248775199677,0.07709256791033,1.6335195596432,0.984005957106239,-0.234356631276146,-1.28124603608435,0,0.537286126005492,-1.28124603608435,1.35407973131326,-1.28124603608435,-1.28124603608435,1.51512706138566,-0.773284328851651,0.135232771807724,-1.28124603608435,-0.532714258309304,0.139783801978742,0.928798566946814,-1.28124603608435,-1.28124603608435,0,2.86126063945314,0.448456976671432,-0.966387412157964,-0.0829120117146317,0.28035061100317,1.32666964664287,1.00312005851756,1.18993206529931,-1.28124603608435,0.0209821605695517,-0.00481942883330617,-1.28124603608435,-1.28124603608435,-0.63756489906543,3.29838705166689,0.560812760992322,0.285082571013967,-0.69829998558315,-0.123198226021729,-0.93138421570169,-0.602304354549333,-1.28124603608435,-1.28124603608435,-0.563878680405751,3.4741504613143,0.766730838644808,-1.28124603608435,3.36567854125226,-0.0340598665254336,-0.493199037097763,0,-1.28124603608435,3.30153497117759,-0.215137586430944,-1.28124603608435,-0.229263965876789,1.17242990896799,-1.28124603608435,-0.0892596642077047
"1-linoleoylglycerophosphocholine",-2.75851611155006,-2.75851611155006,-0.136392931877481,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.601531416694245,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.306719578730459,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.403580027481345,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.364212182225186,-2.75851611155006,-2.75851611155006,-1.43463679366396,-0.114122681958798,-2.75851611155006,1.14314521983639,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-1.74209627391579,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.0545780763655119,-2.75851611155006,0.105758523330515,-2.75851611155006,-2.75851611155006,-2.75851611155006,0.926189234363469,-2.75851611155006,-2.75851611155006,-2.75851611155006,0.73634510188322,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,1.17054042004646,-2.75851611155006,-2.75851611155006,-2.75851611155006,0.800115067404081,-2.75851611155006,-2.75851611155006,-2.75851611155006,0.505941727956786,0.688672738339143,-2.75851611155006,1.30255887083938,2.47794926419559,0.306215568692621,-2.75851611155006,-0.822528635555049,-0.428983413491409,-2.75851611155006,0.0525828308810288,0,-1.5999255559932,1.67517910832382,1.51444548866853,-2.44751668592704,-2.75851611155006,-2.75851611155006,-0.858860224943821,-2.75851611155006,-2.75851611155006,0.687687810732244,-1.04525277838418,2.65696308298211,-2.75851611155006,-2.75851611155006,-2.75851611155006,-0.336897709986138,0.437025278579121,-1.05340986094695,0.329938739877881,-2.75851611155006,-2.75851611155006,-0.176017545087172,0,-2.75851611155006,-1.25239776972506,-2.75851611155006,-2.75851611155006,-1.03235623000578,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,0.881852529367073,-2.75851611155006,2.32840278649171,-2.75851611155006,-2.75851611155006,3.32650858599039,-2.75851611155006,-2.75851611155006,-2.75851611155006,-1.80397216440926,0.25714341247458,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006,-2.75851611155006
"1-methylimidazoleacetate",-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.321205125177267,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.359149591582437,0,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.780587271463468,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.311987984309724,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.592936632739484,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.242779307165622,-0.887593439692774,-0.887593439692774,-0.887593439692774,0,-0.887593439692774,0.271437628777811,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.269034048139919,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.0938929043323837,0.0153976563068207,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.095940632375151,-0.887593439692774,-0.887593439692774,-0.887593439692774,2.11226308840669,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.766060809807444,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.212779859646641,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.494678132643872,-0.887593439692774,-0.606403679835118,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.19692173382033,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.315334360334379,-0.887593439692774,-0.887593439692774,0.188299634866564,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.575651178988229,0.0881551687246618,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.607337470887293,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774,0.425641912833555,-0.887593439692774,-0.887593439692774,-0.887593439692774,-0.887593439692774
"1-methylnicotinamide",-1.27172593794565,-2.1301254360801,-0.270058357914293,-2.58471726340879,0.741471300996687,-1.10696092697619,-0.305426426403549,-0.968601980449262,-1.31649576814143,-1.11266190183734,-0.291869280760418,-1.90017966271358,-0.458013425346875,-2.58471726340879,-0.0584068616247769,-0.793484298891763,-0.480411801101984,-2.58471726340879,-1.64682126791121,-0.284739182368761,-0.66641368599479,-1.68615977580838,-1.36396522155232,-0.181349009364266,-1.51832493198908,0,-1.58994550887352,0.403147720029497,-2.58471726340879,0,-2.58471726340879,0.457856910413769,-1.63209221744019,-0.613926312841663,0.151897772862817,-2.58471726340879,-0.762198911187307,-0.114677104256878,-0.609860629026806,-1.92210075828716,-2.32000338146832,-1.47690379598421,-1.02603172229496,0.434935080420619,-1.46968549887448,-0.701649022942385,-1.90187154401746,-0.968793975750182,-0.81543024333927,-1.10357778544234,-1.88486551884868,-0.176498445883846,2.2939060243237,0.37924388256285,-0.237916571093886,-0.593641841016954,-2.58471726340879,-0.825660060753017,-2.58471726340879,-0.599254424710286,-0.897575674716627,-0.911920835311445,-1.27250991383317,-0.446195205179998,-1.36489014872572,0.030590337587314,0.802052560246218,-0.507718134305893,0.573636282040772,0.323508422790592,-0.712527704880933,2.14117771350069,0.882815184398868,0.782836277374797,0.794461615953935,0.952214268824219,0.537007747800887,-1.85627223351541,2.22148117474392,0.106227698992672,0.986643932165398,0.492899151809057,0.820191218887366,2.65478379875467,0.553694717645149,1.06384114216946,0.152520928018984,1.05839962568309,0.905628166163091,1.83074209076092,-0.042051237564638,0.620333036879537,1.37272369953744,1.43399563814859,0.86054968907096,1.35062170952269,2.57504603689363,0.868038750185429,2.25969129749141,0.744893023774334,1.13385939912268,-1.28371669335727,0.910026489401067,2.22205953257801,1.72357603534104,0.259507517945653,0.394942112755325,1.2920160344067,0.947553953207411,1.31663814451252,-0.89556134860622,0.150832593064803,-0.28587144155267,-0.379098342345431,-1.53796443855726,0.373230583587993,1.45649077158338,3.38245975531569,0.353695915728914,1.03037845801897,2.11718967848511,1.02424874849204,1.97513489702464,-1.20699476502963,-1.0520002760721,2.52491369238916,-1.62579625274397,0.892321075367152,0,1.96962021181559,0.205154755274704,0.37030937990115
"1-myristoylglycerophosphocholine",-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-0.302308012570631,-1.94700547442194,-1.94700547442194,-1.94700547442194,2.40526810832798,2.02354634630522,-1.94700547442194,1.62446123086747,1.95860143275255,-1.34592013557133,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,0.862669589268398,-0.625678270651694,0.145455735870368,0,-1.94700547442194,-1.94700547442194,-1.94700547442194,-0.252349652050845,0.249809382228545,-1.94700547442194,-1.94700547442194,0.912350948904333,-1.36639209647933,2.39941995434284,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-0.161779141691869,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-0.895180285980785,-1.09122090282005,-1.94700547442194,-0.444831731023664,-1.94700547442194,0.21470922719712,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,2.08628104469762,-1.00658793734917,-1.94700547442194,1.15434340960591,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-0.279562168456886,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194,-1.94700547442194
"1-oleoylglycerol (1-monoolein)",-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-2.81370229598926,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-2.79873752378638,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,0.221592534381771,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-1.34187719572419,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,3.27473129947294,-3.5742416597357,-4.8190964817217,2.21444191466791,0.246590502905181,0.696946389728013,-4.8190964817217,-4.8190964817217,1.42026140639611,-4.8190964817217,-4.8190964817217,-4.8190964817217,-0.559143453431169,-4.8190964817217,2.21156050035214,0.0210816876670275,-0.343805700315292,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,3.96610741216232,1.05231154888493,-2.86386112404211,-4.8190964817217,1.64246129516552,2.61551752720794,0,1.65723754919361,-1.20748443920858,-4.10077609999426,-4.8190964817217,1.96917444037696,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,1.58107159997612,-0.585082970786766,-4.8190964817217,-4.8190964817217,-1.79028962359734,-3.56331790329842,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-4.8190964817217,-0.90942836285965,-4.8190964817217,0.401947147617888,-4.8190964817217,-0.667306958772165,-0.476293530773517,-4.8190964817217,1.96906758212949,-4.8190964817217,-4.8190964817217,1.79170573475907,-4.8190964817217,-0.261915308635641,0,-2.16295130453428,-4.8190964817217,-4.8190964817217
"1-oleoylglycerophosphocholine",-3.31238026365154,-3.31238026365154,-0.485167742406014,-3.31238026365154,-3.31238026365154,-3.31238026365154,-0.0708695367121864,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,-0.939401937147243,-3.31238026365154,-2.97103486821809,-3.31238026365154,-0.706170469237422,-3.31238026365154,-3.31238026365154,-2.04697470233302,-1.8933622324043,-3.31238026365154,-1.52821945239568,-2.25630064072442,-3.31238026365154,-3.31238026365154,-0.143046171329657,-3.31238026365154,-3.31238026365154,-2.12207046887171,-0.433531621457838,-3.31238026365154,-0.192036801084231,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,-1.96879679940114,-3.31238026365154,-3.31238026365154,-3.31238026365154,-1.70626697459281,-3.31238026365154,-3.31238026365154,-3.31238026365154,0.496728212527159,-0.303539612837252,-0.163143526787117,-3.31238026365154,-3.31238026365154,-3.31238026365154,1.28679245479301,-3.31238026365154,-1.17001409061174,-3.31238026365154,0.221827598726519,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,-3.31238026365154,0.928745517075449,-3.31238026365154,-3.31238026365154,-3.31238026365154,1.54959031931241,-3.31238026365154,-3.31238026365154,-0.431082600308507,3.581580228209,3.6557525215858,-1.32947868723686,2.23395859838592,4.11394215034507,1.86176087495066,-1.19578780287751,-0.266602270714093,1.41166486727635,-1.94143689910783,1.78469242135357,2.65339943483131,0.835220740550961,1.85903924657762,1.65029124075244,-1.53852173142687,0.61055833660384,1.49734155547631,0.318368907584893,-2.18911438673042,-3.31238026365154,1.71131428314006,-0.180228828918835,4.93622332542716,0.130140135336449,-0.710784049557759,-0.132492523215713,0,2.89799546429458,-0.745913952442537,0.792605513407689,-3.31238026365154,-3.31238026365154,1.25351131323953,2.13625702151114,-1.59265812690316,0.160197369192628,-0.411606045586023,2.44738347395507,1.65017173777974,-3.31238026365154,0.560959458337599,-3.31238026365154,-3.31238026365154,-3.31238026365154,0.68982693380132,-0.85042325048726,3.44212075929891,-3.31238026365154,-3.31238026365154,2.76166398429595,0.169450437029549,0.140372942992678,-3.31238026365154,-2.25759704864138,2.27569842158354,-3.31238026365154,-2.87099928426277,2.21697007679998,-3.31238026365154,-2.36744141317381,-0.839353407839258
"1-oleoylglycerophosphoethanolamine",-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-0.796387867286879,-2.09682595321381,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-0.976571463708576,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.07661498622011,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,0.109775086601483,-3.34175505853853,-3.34175505853853,-3.34175505853853,-0.754811041352495,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,0.182781271559188,-3.34175505853853,-3.34175505853853,-3.34175505853853,-0.403833863986359,-3.34175505853853,-3.34175505853853,-1.5093354043592,1.14529268521312,3.68426892784718,-3.34175505853853,1.69506734109784,1.97167781605435,-3.34175505853853,-3.34175505853853,-3.34175505853853,0,-3.34175505853853,0,2.53106949272595,-1.27202554065588,0.79012977053671,-0.0547758679814023,-3.34175505853853,-3.34175505853853,-0.384758870862829,-3.34175505853853,-3.34175505853853,-1.05025442087236,0.879886091892284,-1.44264186886558,1.95680011805158,-3.34175505853853,-1.85498258610956,-3.34175505853853,-3.34175505853853,0.0451353867064733,-3.34175505853853,0.220775697356127,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,0.303447611520533,-0.0465902193104633,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,3.27603951646218,-3.34175505853853,-3.34175505853853,0.697925018880237,-3.34175505853853,-3.34175505853853,-3.34175505853853,-3.34175505853853,1.55184081815572,-3.34175505853853,-3.34175505853853,-1.20876770743336,-3.34175505853853,-3.34175505853853,-3.34175505853853
"1-palmitoylglycerol (1-monopalmitin)",-3.23945711825263,-3.23945711825263,-1.69361642264596,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-2.93230621947925,-2.99693320686481,-0.818800742610439,-3.23945711825263,-2.67261615100818,-3.23945711825263,-1.28428582462234,-3.23945711825263,-3.23945711825263,-3.23945711825263,-2.80479352809506,-3.23945711825263,-1.53038071258308,-3.23945711825263,-3.23945711825263,-3.23945711825263,-0.986456272656072,-3.23945711825263,-0.449706084183144,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,-1.68568166950499,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,1.47494475828037,-0.055185023061539,-3.23945711825263,-3.23945711825263,-3.23945711825263,-3.23945711825263,0.85929374765771,-3.23945711825263,-1.54821443070364,-3.23945711825263,-0.477825705559962,-1.18515922108501,-2.0490150703184,-2.33534240842265,-3.23945711825263,-3.23945711825263,0.0550151325005718,-3.23945711825263,-3.23945711825263,-1.05764089184183,3.30612951501314,-3.23945711825263,-0.231658972639389,3.28204979464212,4.4451506225417,5.119717220664,-3.23945711825263,0.481464283939688,4.01330145511303,-1.61642785407695,0.0531530523395543,0.72004201025103,3.80791128285355,-1.73972859479209,1.74765808099711,2.55960683265203,1.86036295686071,2.10811291637013,-0.0572010185558904,-3.23945711825263,-0.851740069684168,5.27749385001509,-3.23945711825263,-0.808017992781061,-3.23945711825263,1.58501058975437,2.12301388993686,1.84743975840225,3.81676352349831,-3.23945711825263,1.05950064743169,-3.23945711825263,2.49568237271772,-3.23945711825263,-3.23945711825263,-3.23945711825263,-0.478631603555793,-3.23945711825263,2.93999004476401,-3.23945711825263,-0.727764156039194,-3.23945711825263,1.6759965389643,-3.23945711825263,-3.23945711825263,-0.755302877789363,-0.864919614639427,-3.23945711825263,-2.3533211992566,-3.23945711825263,-3.23945711825263,4.61513375751443,-1.61387332355901,0.785818351342721,1.55593392127867,-0.732516936919407,3.43984916423471,-3.23945711825263,-3.23945711825263,5.55051901394689,-3.23945711825263,1.98833567139619,1.65826176194044,0,-3.23945711825263,-3.23945711825263
