"metabnames","id"
"(p-Hydroxyphenyl)lactic acid","(p-Hydroxyphenyl)lactic acid"
"3-phospho-d-glycerate","3-phospho-d-glycerate"
"5,6-Dimethylbenzimidazole","5,6-Dimethylbenzimidazole"
"5-oxoproline","5-oxoproline"
"adenine","adenine"
"alanine","alanine"
"alpha-D-ribose 5-phosphate","alpha-D-ribose 5-phosphate"
"anthranilic acid","anthranilic acid"
"arabinose","arabinose"
"arginine","arginine"
"asparagine","asparagine"
"aspartate","aspartate"
"beta-alanine","beta-alanine"
"cholesterol","cholesterol"
"citric acid","citric acid"
"creatinine","creatinine"
"cysteine","cysteine"
"D-allose","D-allose"
"DL-cystathionine","DL-cystathionine"
"D-ribose","D-ribose"
"fumaric acid","fumaric acid"
"glucose-6-phosphate","glucose-6-phosphate"
"glutamic acid","glutamic acid"
"glutamine","glutamine"
"glyceraldehyde","glyceraldehyde"
"glyceric acid","glyceric acid"
"glycerol","glycerol"
"glycine","glycine"
"gulono-1,4-lactone","gulono-1,4-lactone"
"histidine","histidine"
"hypotaurine","hypotaurine"
"inositol 1-phosphate","inositol 1-phosphate"
"isoleucine","isoleucine"
"lactate","lactate"
"L-allo-threonine","L-allo-threonine"
"L-arabitol","L-arabitol"
"leucine","leucine"
"malic acid","malic acid"
"mannose","mannose"
"N(5)-(aminocarbonyl)-L-ornithine","N(5)-(aminocarbonyl)-L-ornithine"
"N-acetylneuraminic acid","N-acetylneuraminic acid"
"n-dodecanoate","n-dodecanoate"
"n-hexadecanoic acid","n-hexadecanoic acid"
"octopamine","octopamine"
"ornithine","ornithine"
"phosphate","phosphate"
"Possible Artifact-2336 (RI Ladder)","Possible Artifact-2336 (RI Ladder)"
"X-2911","X-2911"
"X-3014","X-3014"
"X-3016","X-3016"
"X-3022","X-3022"
"X-3034","X-3034"
"X-3074","X-3074"
"X-3085 = Inositol 2","X-3085 = Inositol 2"
"X-3090","X-3090"
"X-3091","X-3091"
"X-3094","X-3094"
"X-3996","X-3996"
"X-3998","X-3998"
"X-4015","X-4015"
"X-4019","X-4019"
"X-4020","X-4020"
"X-4027","X-4027"
"X-4043","X-4043"
"X-4046","X-4046"
"X-4251","X-4251"
"X-4271","X-4271"
"X-4354","X-4354"
"X-4503","X-4503"
"X-4510","X-4510"
"X-4514","X-4514"
"X-4516","X-4516"
"X-4517","X-4517"
"X-4522","X-4522"
"X-4523","X-4523"
"X-4593","X-4593"
"X-4611","X-4611"
"proline","proline"
"Putrescine","Putrescine"
"serine","serine"
"sn-Glycerol 3-phosphate","sn-Glycerol 3-phosphate"
"sorbitol","sorbitol"
"Spermidine","Spermidine"
"succinate","succinate"
"tetradecanoic acid","tetradecanoic acid"
"threonine","threonine"
"trans-4-hydroxyproline","trans-4-hydroxyproline"
"tyramine","tyramine"
"tyrosine","tyrosine"
"uracil","uracil"
"urea","urea"
"valine","valine"
"xanthosine","xanthosine"
"(2-Aminoethyl)phosphonate","(2-Aminoethyl)phosphonate"
"2,3-diphospho-D-glyceric acid","2,3-diphospho-D-glyceric acid"
"2'-deoxyadenosine 5'-diphosphate","2'-deoxyadenosine 5'-diphosphate"
"2'-deoxyuridine","2'-deoxyuridine"
"2'-deoxyuridine 5'-triphosphate","2'-deoxyuridine 5'-triphosphate"
"3-hydroxy-3-methylglutarate","3-hydroxy-3-methylglutarate"
"3-phospho-l-serine","3-phospho-l-serine"
"4-Guanidinobutanoic acid","4-Guanidinobutanoic acid"
"5,6-dihydrouracil","5,6-dihydrouracil"
"5'-s-methyl-5'-thioadenosine","5'-s-methyl-5'-thioadenosine"
"allantoin","allantoin"
"alpha-keto-glutarate","alpha-keto-glutarate"
"arginino-succinate","arginino-succinate"
"beta-nicotinamide adenine dinucleotide","beta-nicotinamide adenine dinucleotide"
"biotin","biotin"
"caffeine","caffeine"
"cytidine","cytidine"
"ethylmalonic acid","ethylmalonic acid"
"gamma-glu-cys","gamma-glu-cys"
"gamma-L-glutamyl-L-glutamine","gamma-L-glutamyl-L-glutamine"
"glutathione, reduced","glutathione, reduced"
"guanine","guanine"
"guanosine","guanosine"
"guanosine 5'- monophosphate","guanosine 5'- monophosphate"
"homogentisate","homogentisate"
"hypoxanthine","hypoxanthine"
"inosine","inosine"
"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid","Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid"
"Isobar 22 includes glutamic acid, O-acetyl-L-serine","Isobar 22 includes glutamic acid, O-acetyl-L-serine"
"Isobar 27 includes L-kynurenine, alpha-2-diamino-gamma-oxobenzenebutanoic acid","Isobar 27 includes L-kynurenine, alpha-2-diamino-gamma-oxobenzenebutanoic acid"
"Isobar 3 includes inositol 1-phosphate, mannose 6-phosphate, glucose 6-phosphate, D-mannose 1-phosphate, alpha-D-glucose 1-phosphate, alpha-D-galactose 1 phosphate","Isobar 3 includes inositol 1-phosphate, mannose 6-phosphate, glucose 6-phosphate, D-mannose 1-phosphate, alpha-D-glucose 1-phosphate, alpha-D-galactose 1 phosphate"
"Isobar 39 includes N-acetyl-D-glucosamine-6-phosphate, N-acetyl-alpha-D-glucosamine 1-phosphate","Isobar 39 includes N-acetyl-D-glucosamine-6-phosphate, N-acetyl-alpha-D-glucosamine 1-phosphate"
"Isobar 4 includes Gluconic acid, DL-arabinose, D-ribose, L-xylose, DL-lyxose, D-xylulose","Isobar 4 includes Gluconic acid, DL-arabinose, D-ribose, L-xylose, DL-lyxose, D-xylulose"
"Isobar 6 includes valine, betaine","Isobar 6 includes valine, betaine"
"Kynurenic acid","Kynurenic acid"
"L-alpha-glycerophosphorylcholine","L-alpha-glycerophosphorylcholine"
"L-beta-imidazolelactic acid","L-beta-imidazolelactic acid"
"methionine","methionine"
"N-formyl-L-methionine","N-formyl-L-methionine"
"niacinamide","niacinamide"
"oxitryptan","oxitryptan"
"pantothenic acid","pantothenic acid"
"phenylalanine","phenylalanine"
"phosphoenolpyruvate","phosphoenolpyruvate"
"picolinic acid","picolinic acid"
"porphobilinogen","porphobilinogen"
"X-1086","X-1086"
"X-1104","X-1104"
"X-1107","X-1107"
"X-1111 - possible methylnitronitrosoguanidine or ethyl thiocarbamoylacetate","X-1111 - possible methylnitronitrosoguanidine or ethyl thiocarbamoylacetate"
"X-1113 - possible acetylcarnitine","X-1113 - possible acetylcarnitine"
"X-1122","X-1122"
