"","786-0","A498","A549/ATCC","ACHN","BT-549","CAKI-1","CCRF-CEM","COLO 205","DU-145","EKVX","HCC-2998","HCT-116","HCT-15","HL-60(TB)","HOP-62","HOP-92","HS 578T","HT29","IGROV1","K-562","KM12","LOX IMVI","M14","MALME-3M","MCF7","MDA-MB-231/ATCC","MDA-MB-435","MOLT-4","NCI-H226","NCI-H23","NCI-H322M","NCI-H460","NCI-H522","NCI/ADR-RES","OVCAR-3","OVCAR-4","OVCAR-5","OVCAR-8","PC-3","RPMI-8226","RXF-393","SF-268","SF-295","SF-539","SK-MEL-28","SK-MEL-5","SK-OV-3","SN12C","SNB-19","SNB-75","SR","SW-620","T-47D","TK-10","U251","UACC-257","UACC-62","UO-31"
"(p-Hydroxyphenyl)lactic acid",-0.753085259529483,-1.67807190511264,0.250355271763048,0.437937901388923,-3.79585928321977,0.318461465167583,-3.79585928321977,-1.43961111514854,-1.13606154957603,-1.21647350007605,-0.498858129477866,-2.54231816331266,0.270229907237998,-2.14347902113851,0.265836922404327,-3.79585928321977,-0.592194069952232,0.313439359271037,-0.203125416815109,-0.572751416770282,-3.79585928321977,0.558757430373762,-1.38082178394093,0.750463585915183,0.325770161181757,-0.738569479868796,0.717502786611249,-0.809279798982096,0.415758666522498,-0.226003674888827,-2.44483827681209,-0.121863233373052,-1.0439433475876,-0.520769438793664,-3.79585928321977,-3.79585928321977,-0.988504361162171,-0.763660460831626,-3.79585928321977,-1.188803011648,-0.409278229990159,-0.945267267321574,1.51096191927738,0.671746266863223,-0.135005017093153,1.24893957594801,-0.749846885462938,1.37388017452208,-0.461296304267336,0.166501220444403,-0.0867116331933308,-3.79585928321977,0.828631581688019,-0.587128167939271,-1.31353682462822,0.495695162624069,-0.185517936131698,0.205392512989685
"3-phospho-d-glycerate",0.140560544807872,1.04997920270779,-3.53951952995999,1.75360453628,0.418999465431266,1.03233598211969,-5.38082178394093,-5.38082178394093,0.057045856535967,0.59741198755465,-1.30519407912756,-4.38082178394093,0.00671691621458065,-5.38082178394093,-4.39087544860485,-0.690435730463762,0.147523792308788,0.75303396279386,-0.79836613883035,-3.26997601525264,-2.75308525952948,0.0781543666449468,-5.38082178394093,-0.131840054125344,-0.0624045078507195,-0.938799843563262,-5.38082178394093,-5.38082178394093,-0.937878288092203,-5.38082178394093,-2.92869496592687,0.510961919277379,-3.22431729826094,-1.46195854666634,0.239194343007673,-0.0558912008920452,1.46327368493169,-0.760398288631329,-0.0469210473874926,-5.38082178394093,0.662965012722429,-0.177881725270655,2.6353674541584,-0.0684430030600603,0.429928346939125,0.162639729553787,3.55794101077137,0.0767870990895486,-0.897901812381264,0.706935695325523,-3.07501335441685,-2.14986734910106,0.973550052279381,2.06775343043173,0.249344202241752,1.81871424540037,-5.38082178394093,2.02147972741045
"5,6-Dimethylbenzimidazole",-0.222071858055296,-0.474432211098653,-1.70604102097131,1.06281249240502,-0.846843211938579,1.62355475908439,-2.58207999218803,3.96953426109991,2.06947304012424,-0.189351252217354,1.74085562159958,0.955560795717063,1.09243298254231,-0.584241333477502,0.192404608729257,-0.107803289534515,-3.96578428466209,-1.64837167089722,-1.3646325458416,0.17802406415942,3.36583248918298,-0.12605559387029,0.157474944655109,0.821574169484016,1.8481304832451,0.274609556096091,0.956552338739523,-1.02034044828418,-0.48264030952447,1.25660813667436,-0.119249181125192,0.111476519934597,1.68077442549246,-1.79252357065652,1.72654061474711,-1.23333417161837,-0.922301245246062,-1.13078660753535,-0.565616411916344,-1.08110496814373,0.611014957921432,-2.2086721173841,1.37536385640206,-0.156820109742826,0.657182660128423,0.812018958770714,2.30149009800172,-0.897901812381264,-1.37831927673776,0.376660827565788,-0.00288827932482651,1.36289064266586,0.841033820629923,-0.799202726294145,-0.726583575639085,-0.424687669312563,-2.46593839757888,-0.906890595608519
"5-oxoproline",0.751606541047959,-0.0881167105942058,-0.618162916093953,-0.513886338710197,0.297484915710575,0.492622328574446,0.12212049105055,1.09085343045111,-0.209227962138,-0.830502527095677,2.34539637539127,0.684968309378652,0.269033146455237,-0.0694518807521452,0.140124223909071,-1.188803011648,-1.05989590864295,-1.44745897697122,-0.226003674888827,1.7057567820498,1.80886552573184,-0.0183908600943956,2.60573136581573,0.55352434355365,0.399079925375868,0.651377038447218,2.06557231159362,0.76355321651429,-0.492078535042672,1.72871870641072,-0.688109427824449,-0.500217879852688,-0.500898235932682,-1.54091816801513,-0.0608988249439454,-1.3933998500204,-0.466602774768099,-0.537424111957796,-0.848574100017696,-0.0454314292470058,-0.79836613883035,-0.574898817376459,1.29709357024747,-0.0811049681437271,2.01238988980608,2.68392098080932,1.29885378945424,-0.167582524748133,-1.67116353577046,-0.925037942318778,1.38183708390605,-0.965784284662087,0.573697674625342,-0.26592268515862,-0.520769438793664,0.636295928956651,1.97673022067715,-0.428565884123491
"adenine",-1.45666909971134,-0.726782526896505,-3.81603716515741,-0.422107972530646,-0.611902327917072,0.273416424360915,-0.203125416815109,0.589443917808593,-3.81603716515741,-3.81603716515741,1.70029174183029,0.831607048281268,0.0134027046024882,-1.46063436571895,-3.81603716515741,-3.81603716515741,-3.81603716515741,-2.21312488339074,-1.07400058144378,0.799916202989014,1.27996647156863,0.129173093135176,2.15218341905505,0.372580700035949,-0.313536824628222,-0.409278229990159,2.00180224263399,0.402358365208098,-3.81603716515741,1.2389906156839,-3.81603716515741,-3.81603716515741,0.0176844077842165,-3.81603716515741,0.862881143640929,-2.94712044039705,-2.61705613043101,-3.81603716515741,-0.807595391270743,-1.71311885221184,-3.12448203068115,-3.81603716515741,-0.761213140412883,-3.81603716515741,1.21142759660986,3.52736231571709,-0.182786075741673,-3.81603716515741,-3.81603716515741,-3.81603716515741,0.492964077963913,-1.30163333266951,-0.505669733448303,-1.13078660753535,-0.907792561902911,0.919403649891116,1.52289272489999,-3.81603716515741
"alanine",-0.591469279662741,-0.212985526226571,0.343123519401852,1.16263972955379,-0.669632824708147,0.608809242675524,-1.70368943929191,0.640620928035698,0.119909463735197,-1.50362287326922,0.993734736927547,-0.0389941316158637,1.48422408008858,0.151425899982304,-0.000962117435383687,-0.816037165157405,-1.27462238010901,-0.227692025041597,-0.377069649079823,-0.096961729887088,1.64123772797707,1.18120858838869,0.176322772640463,0.0561210519909089,-1.55497963450544,-0.287477585010582,0.425817338032086,1.38239058287347,-0.925037942318778,-0.0928529480685435,-0.279283757478869,0.12344548276244,-1.18989970120358,-0.564904848379903,1.08133962745194,-1.02131623123709,-1.5200796491363,-0.740175150642096,-1.17136841831198,-0.147734761808246,-0.354144658860073,-0.0892673380970872,1.53505759489484,0.160059648316108,1.23797154730722,0.215782123215621,-0.314134585167492,1.54728529757728,-0.0213162312370924,0.182268536302719,0.0454429707611671,-1.05689133614242,0.531069492725954,-0.646864939647063,0.242043508917821,0.2347056827753,0.82781902461732,0.766383141001298
"alpha-D-ribose 5-phosphate",2.20549678032908,-0.0808506367123255,1.33227828305693,2.46152855947288,3.41751500288509,-1.30044836747691,-3.608232280044,-3.608232280044,1.03749936666157,0.524398058683074,-1.44091613110445,-3.608232280044,-3.608232280044,-3.608232280044,1.03163045025745,-0.510457064357526,0.111476519934597,2.03761650180887,-1.78587519464715,-3.608232280044,-3.608232280044,-1.1855179361317,-0.828793172581858,2.12300395405482,-1.70055994773747,-3.608232280044,-3.608232280044,-3.608232280044,-0.898798174659797,-3.608232280044,-3.608232280044,-1.29335894269059,-3.608232280044,-0.88718868116597,-0.640104054913617,-2.76284422599181,-1.68501351453148,-1.57060720774409,-1.72897280341268,-2.57633219557772,2.7641904336801,-1.6067668710395,-0.212567535483132,0.327687364176047,0.841302253980942,-0.35783756627123,2.39588539483069,-0.180604305887845,-1.35475948735473,-1.41375567330301,-3.608232280044,-2.68346804567358,-0.805072461381109,-3.608232280044,-0.395296054071106,1.38625914113335,-3.608232280044,0.823477640740488
"anthranilic acid",0.157474944655109,0.00575926928868495,1.57845572177957,0.888824410893211,-1.23333417161837,0.508259609817868,-2.88896868761126,-0.137118856359071,0.17291415902674,-0.779257315882645,0.406718061421968,-0.533242384273829,0.236339539168374,-2.88896868761126,0.130930869826449,-2.28865194001306,-0.386468347082073,0.167786090685978,-0.416320465162317,-1.37582110288256,-0.337642565741337,1.03351110236132,-0.626676599797899,0.126972856257766,0.142304510013756,-0.367111403910025,-1.20645087746743,-1.8800905362648,0.590082985389758,-0.366491289977895,-0.33885849083724,0.684369929013007,-0.441569082027969,-0.535331732996556,0.347098670622268,-0.894321922105463,-0.757143476103836,0.16178021505658,-2.47126200155643,-1.17028572029427,-0.502941231375654,-0.228255247785775,2.23296768053165,0.786317553301498,0.394697050994668,0.188611922050151,-0.19319478076516,2.04835245232825,-0.368352431978714,0.628851345466593,-0.407363571393423,-2.88896868761126,0.604703945928894,-1.06190243892591,0.0233736496265051,0.605336290905439,1.01054115978159,1.27778642507237
"arabinose",0.405266292704856,-0.361694423192907,-3.0350469470992,-0.034061836073633,1.1514258999823,-0.512513650651464,-3.0350469470992,-1.37582110288256,-1.26997601525264,0.0148313514010857,-3.0350469470992,-1.86775220170156,-3.0350469470992,-3.0350469470992,-1.26997601525264,-3.0350469470992,-0.949904670995942,-3.0350469470992,-3.0350469470992,-3.0350469470992,-3.0350469470992,-1.37208193437677,-3.0350469470992,2.00060099773454,-2.08110496814373,-3.0350469470992,-2.5200796491363,-3.0350469470992,0.2682347540492,-3.0350469470992,-2.05889368905357,-3.0350469470992,-3.0350469470992,-0.87655451723756,-2.14986734910106,-3.0350469470992,0.130491626394562,-3.0350469470992,-3.0350469470992,-3.0350469470992,1.63335370652576,-2.6229688233009,-0.678841547724056,-0.404178109642457,1.41530797924231,-0.497499659470817,0.252577133658247,-3.0350469470992,-3.0350469470992,-2.41375567330301,-3.0350469470992,-3.0350469470992,0.411426245726465,-3.0350469470992,-1.17679413001305,0.19576753575522,-3.0350469470992,-1.95083394319612
"arginine",-0.858131283688663,0.196607044094818,0.606442228131608,0.656267534794289,-0.0444392042829368,0.271027196587325,-1.32795188251513,0.775120795192175,0.346342342929513,-0.940644722383579,-0.0619024389259069,0.885183866320351,0.839959587489532,-0.933279320089047,-0.645359780365112,-0.640104054913617,-0.643856189774725,-0.315330849780717,-0.79002683791762,0.126532405928932,0.465365052837269,1.53123588394243,-0.264189023775286,-0.0164439029286127,-0.0862010350493038,-0.520769438793664,2.40880242284741,0.0463746434063255,0.367743806909068,0.0745054363636298,0.318461465167583,0.341796031265309,-0.819427754358179,-0.606034724339757,0.773715070594074,-1.00578235259401,-1.54512223618937,-0.63486740654747,-1.37457363627575,-1.02816525412841,-0.658963082164933,0.167786090685978,2.17387364588036,1.17589713610075,0.168214126600967,1.7454524831317,0.0384361816561079,1.9192765121919,-0.0183908600943956,1.01839679116182,0.0313951962755343,-2.10780328953451,0.289637765328423,-0.781735464286229,0.6535186707536,0.208309153776926,1.57288966842058,0.0885939232689884
