"name","id","start","end","chromosome"
"PRPF8","PRPF8",0,0,0
"CAPNS1","CAPNS1",0,0,0
"RPL35","RPL35",0,0,0
"EIF3D","EIF3D",0,0,0
"PARK7","PARK7",0,0,0
"SRP14","SRP14",0,0,0
"GDI2","GDI2",0,0,0
"RPL11","RPL11",0,0,0
"RPL24","RPL24",0,0,0
"FAU","FAU",0,0,0
"RPS5","RPS5",0,0,0
"RPL34","RPL34",0,0,0
"NARS","NARS",0,0,0
"STARD7","STARD7",0,0,0
"RPL19","RPL19",0,0,0
"SNORD35B","SNORD35B",0,0,0
"RPL9","RPL9",0,0,0
"RPL6","RPL6",0,0,0
"CTDNEP1","CTDNEP1",0,0,0
"RTCB","RTCB",0,0,0
"ERH","ERH",0,0,0
"ABCF1","ABCF1",0,0,0
"DAD1","DAD1",0,0,0
"KAT7","KAT7",0,0,0
"ZNF146","ZNF146",0,0,0
"ILF2","ILF2",0,0,0
"SPAG7","SPAG7",0,0,0
"C1D","C1D",0,0,0
"RPS24","RPS24",0,0,0
"SMNDC1","SMNDC1",0,0,0
"ATP6V0B","ATP6V0B",0,0,0
"NBEAL1","NBEAL1",0,0,0
"RPS25","RPS25",0,0,0
"EIF3A","EIF3A",0,0,0
"MIR3652","MIR3652",0,0,0
"ACTN4","ACTN4",0,0,0
"DSP","DSP",0,0,0
"RAD21","RAD21",0,0,0
"AP2M1","AP2M1",0,0,0
"AP2B1","AP2B1",0,0,0
"MLEC","MLEC",0,0,0
"LASP1","LASP1",0,0,0
"SF3B2","SF3B2",0,0,0
"CSRP1","CSRP1",0,0,0
"PTGES3","PTGES3",0,0,0
"WARS","WARS",0,0,0
"NDRG1","NDRG1",0,0,0
"UBB","UBB",0,0,0
"PFN1","PFN1",0,0,0
"SOD1","SOD1",0,0,0
"MARCKSL1","MARCKSL1",0,0,0
"GABARAP","GABARAP",0,0,0
"NUCB1","NUCB1",0,0,0
"LDHA","LDHA",0,0,0
"SSR2","SSR2",0,0,0
"P4HB","P4HB",0,0,0
"SLC25A5","SLC25A5",0,0,0
"PHB","PHB",0,0,0
"S100A11","S100A11",0,0,0
"CTSA","CTSA",0,0,0
"CD63","CD63",0,0,0
"DNAJB1","DNAJB1",0,0,0
"LAPTM4A","LAPTM4A",0,0,0
"RPL32","RPL32",0,0,0
"CD81","CD81",0,0,0
"PTTG1IP","PTTG1IP",0,0,0
"GLO1","GLO1",0,0,0
"UBE2L3","UBE2L3",0,0,0
"SF3B3","SF3B3",0,0,0
"PPP2R1A","PPP2R1A",0,0,0
"HK1","HK1",0,0,0
"KDELR2","KDELR2",0,0,0
"NPC2","NPC2",0,0,0
"DDX24","DDX24",0,0,0
"DYNLL1","DYNLL1",0,0,0
"LITAF","LITAF",0,0,0
"GOT2","GOT2",0,0,0
"ACADVL","ACADVL",0,0,0
"MAPRE1","MAPRE1",0,0,0
"ACTR1A","ACTR1A",0,0,0
"PPP1CC","PPP1CC",0,0,0
"GPX1","GPX1",0,0,0
"GNB1","GNB1",0,0,0
"RAN","RAN",0,0,0
"ARL6IP5","ARL6IP5",0,0,0
"DPYSL2","DPYSL2",0,0,0
"CTSD","CTSD",0,0,0
"LAMC1","LAMC1",0,0,0
"HNRNPK","HNRNPK",0,0,0
"BZW1","BZW1",0,0,0
"ATF4","ATF4",0,0,0
"ANXA5","ANXA5",0,0,0
"LRP1","LRP1",0,0,0
"PEA15","PEA15",0,0,0
"ECH1","ECH1",0,0,0
"ODC1","ODC1",0,0,0
"SPARCL1","SPARCL1",0,0,0
"TMBIM6","TMBIM6",0,0,0
"CCT7","CCT7",0,0,0
"PSME1","PSME1",0,0,0
"RPS15","RPS15",0,0,0
"PSMD8","PSMD8",0,0,0
"GSTP1","GSTP1",0,0,0
"HYOU1","HYOU1",0,0,0
"SNRPD2","SNRPD2",0,0,0
