"name","id","start","end","chromosome"
"ZRSR2","ZRSR2",0,0,0
"PM20D1","PM20D1",0,0,0
"FGF16","FGF16",0,0,0
"SPAG1","SPAG1",0,0,0
"ADAMTSL4","ADAMTSL4",0,0,0
"DLG4","DLG4",0,0,0
"NBEAL2","NBEAL2",0,0,0
"ZBTB18","ZBTB18",0,0,0
"SPRY4","SPRY4",0,0,0
"SELM","SELM",0,0,0
"NHLRC3","NHLRC3",0,0,0
"FAM174B","FAM174B",0,0,0
"CCDC91","CCDC91",0,0,0
"TRADD","TRADD",0,0,0
"DLAT","DLAT",0,0,0
"MFAP5","MFAP5",0,0,0
"BRD3","BRD3",0,0,0
"CALML5","CALML5",0,0,0
"BAALC","BAALC",0,0,0
"C8orf82","C8orf82",0,0,0
"BZRAP1-AS1","BZRAP1-AS1",0,0,0
"PCDHB19P","PCDHB19P",0,0,0
"LOC100288911","LOC100288911",0,0,0
"OOEP","OOEP",0,0,0
"ACTG2","ACTG2",0,0,0
"FAM81A","FAM81A",0,0,0
"COL6A3","COL6A3",0,0,0
"IER3","IER3",0,0,0
"PEX19","PEX19",0,0,0
"PCOLCE","PCOLCE",0,0,0
"DENND4B","DENND4B",0,0,0
"FPGS","FPGS",0,0,0
"CEBPZ","CEBPZ",0,0,0
"TBC1D4","TBC1D4",0,0,0
"TMEM5","TMEM5",0,0,0
"GPC4","GPC4",0,0,0
"NCAN","NCAN",0,0,0
"REEP2","REEP2",0,0,0
"SDS","SDS",0,0,0
"ITIH3","ITIH3",0,0,0
"PIP","PIP",0,0,0
"TSNAX-DISC1","TSNAX-DISC1",0,0,0
"ID1","ID1",0,0,0
"ATG13","ATG13",0,0,0
"APOBEC3C","APOBEC3C",0,0,0
"AIMP2","AIMP2",0,0,0
"MTX1","MTX1",0,0,0
"ABLIM1","ABLIM1",0,0,0
"POMZP3","POMZP3",0,0,0
"KCNJ4","KCNJ4",0,0,0
"MRPS27","MRPS27",0,0,0
"RRP1B","RRP1B",0,0,0
"FAM179B","FAM179B",0,0,0
"LDHB","LDHB",0,0,0
"TGM2","TGM2",0,0,0
"SLC28A2","SLC28A2",0,0,0
"VDAC1","VDAC1",0,0,0
"PIGT","PIGT",0,0,0
"BFAR","BFAR",0,0,0
"HOXC13","HOXC13",0,0,0
"FBXO17","FBXO17",0,0,0
"IL1RAPL2","IL1RAPL2",0,0,0
"CHRNG","CHRNG",0,0,0
"KAT8","KAT8",0,0,0
"DCDC2","DCDC2",0,0,0
"SERTAD1","SERTAD1",0,0,0
"KCNK6","KCNK6",0,0,0
"RGS22","RGS22",0,0,0
"FGF19","FGF19",0,0,0
"RALA","RALA",0,0,0
"PRKAA1","PRKAA1",0,0,0
"TMEM55A","TMEM55A",0,0,0
"SYTL1","SYTL1",0,0,0
"C19orf12","C19orf12",0,0,0
"BVES","BVES",0,0,0
"PRSS23","PRSS23",0,0,0
"HAS2","HAS2",0,0,0
"FAM155A","FAM155A",0,0,0
"KLF8","KLF8",0,0,0
"LOC100505664","LOC100505664",0,0,0
"HEATR1","HEATR1",0,0,0
"LOC100652999","LOC100652999",0,0,0
"FLYWCH1","FLYWCH1",0,0,0
"HAPLN4","HAPLN4",0,0,0
"PHYKPL","PHYKPL",0,0,0
"LOC101930114","LOC101930114",0,0,0
"USP45","USP45",0,0,0
"C1QTNF7","C1QTNF7",0,0,0
"THNSL2","THNSL2",0,0,0
"BCL2L15","BCL2L15",0,0,0
"PRKD3","PRKD3",0,0,0
"UBA6","UBA6",0,0,0
"LOC728730","LOC728730",0,0,0
"ITGB8","ITGB8",0,0,0
"ZBTB46","ZBTB46",0,0,0
"XPO1","XPO1",0,0,0
"CUL7","CUL7",0,0,0
"DENND2A","DENND2A",0,0,0
"CTCF","CTCF",0,0,0
"HOXD1","HOXD1",0,0,0
"PIK3R1","PIK3R1",0,0,0
"CLDN9","CLDN9",0,0,0
"LINC01136","LINC01136",0,0,0
"ARHGEF15","ARHGEF15",0,0,0
"GSTK1","GSTK1",0,0,0
"LHPP","LHPP",0,0,0
"KXD1","KXD1",0,0,0
"CYHR1","CYHR1",0,0,0
"CUL4A","CUL4A",0,0,0
"IGHMBP2","IGHMBP2",0,0,0
"TSTA3","TSTA3",0,0,0
"DND1","DND1",0,0,0
"LGALS9","LGALS9",0,0,0
"SERINC5","SERINC5",0,0,0
"SHISA2","SHISA2",0,0,0
"ODF3","ODF3",0,0,0
"EMP1","EMP1",0,0,0
"RABGEF1","RABGEF1",0,0,0
"ZNF704","ZNF704",0,0,0
"GMFB","GMFB",0,0,0
"MYBPH","MYBPH",0,0,0
"CYC1","CYC1",0,0,0
"USP1","USP1",0,0,0
"TOPBP1","TOPBP1",0,0,0
"CNN1","CNN1",0,0,0
"CCDC106","CCDC106",0,0,0
"IQCE","IQCE",0,0,0
"TM4SF20","TM4SF20",0,0,0
"PDZD4","PDZD4",0,0,0
"TLE1","TLE1",0,0,0
"CD59","CD59",0,0,0
"TSPAN12","TSPAN12",0,0,0
"LINC00997","LINC00997",0,0,0
"LAMB4","LAMB4",0,0,0
"PUM2","PUM2",0,0,0
"PSD4","PSD4",0,0,0
"CCDC18","CCDC18",0,0,0
"DZIP1L","DZIP1L",0,0,0
"LOC101927417","LOC101927417",0,0,0
"C11orf30","C11orf30",0,0,0
"DIS3L2","DIS3L2",0,0,0
"ROS1","ROS1",0,0,0
"CALHM2","CALHM2",0,0,0
"MRPL24","MRPL24",0,0,0
"SKAP1","SKAP1",0,0,0
"PTTG1IP","PTTG1IP",0,0,0
"LAMC1","LAMC1",0,0,0
"GNB2","GNB2",0,0,0
"BLMH","BLMH",0,0,0
"CHERP","CHERP",0,0,0
"PLOD2","PLOD2",0,0,0
"SERPINE1","SERPINE1",0,0,0
"DRG1","DRG1",0,0,0
"ATP1A2","ATP1A2",0,0,0
"PMM1","PMM1",0,0,0
"LOXL1","LOXL1",0,0,0
"NDUFS6","NDUFS6",0,0,0
"DFNA5","DFNA5",0,0,0
"BAK1","BAK1",0,0,0
"CFI","CFI",0,0,0
"WDR47","WDR47",0,0,0
"F2R","F2R",0,0,0
"RRP9","RRP9",0,0,0
"GPR137B","GPR137B",0,0,0
"DZIP1","DZIP1",0,0,0
"STC1","STC1",0,0,0
"FEN1","FEN1",0,0,0
"POLA1","POLA1",0,0,0
"GNE","GNE",0,0,0
"SLC16A4","SLC16A4",0,0,0
"SERPIND1","SERPIND1",0,0,0
"TNFSF12","TNFSF12",0,0,0
"HAAO","HAAO",0,0,0
"BIK","BIK",0,0,0
"FCN3","FCN3",0,0,0
"GTF2E1","GTF2E1",0,0,0
"DPEP1","DPEP1",0,0,0
"ANKRD7","ANKRD7",0,0,0
"TLL1","TLL1",0,0,0
"ZNF365","ZNF365",0,0,0
"PTK6","PTK6",0,0,0
"GLI1","GLI1",0,0,0
"ZNF571","ZNF571",0,0,0
"CD5L","CD5L",0,0,0
"TNFRSF8","TNFRSF8",0,0,0
"OTC","OTC",0,0,0
"CDY1","CDY1",0,0,0
"KLRC3","KLRC3",0,0,0
"CD160","CD160",0,0,0
"POU5F1","POU5F1",0,0,0
"DDB1","DDB1",0,0,0
"RALGDS","RALGDS",0,0,0
"TSPAN6","TSPAN6",0,0,0
"PWP2","PWP2",0,0,0
"ANXA3","ANXA3",0,0,0
"APLP1","APLP1",0,0,0
"EXTL2","EXTL2",0,0,0
"PPP2R3A","PPP2R3A",0,0,0
"IL16","IL16",0,0,0
"IDH2","IDH2",0,0,0
"RND1","RND1",0,0,0
"MARCH2","MARCH2",0,0,0
"PSG9","PSG9",0,0,0
"MYO6","MYO6",0,0,0
"NQO1","NQO1",0,0,0
"IL1R2","IL1R2",0,0,0
"LSM5","LSM5",0,0,0
"PXN","PXN",0,0,0
"ATRN","ATRN",0,0,0
"MPHOSPH10","MPHOSPH10",0,0,0
"CEMIP","CEMIP",0,0,0
"PRKCDBP","PRKCDBP",0,0,0
"MCAT","MCAT",0,0,0
"SETD1B","SETD1B",0,0,0
"ZNF184","ZNF184",0,0,0
"G0S2","G0S2",0,0,0
"LOC100506603","LOC100506603",0,0,0
"SMPDL3A","SMPDL3A",0,0,0
"LINC00342","LINC00342",0,0,0
"AZIN1","AZIN1",0,0,0
"MFNG","MFNG",0,0,0
"MET","MET",0,0,0
"TWIST1","TWIST1",0,0,0
"GNAL","GNAL",0,0,0
"FERMT2","FERMT2",0,0,0
"CALR","CALR",0,0,0
"PPFIBP1","PPFIBP1",0,0,0
"MBD2","MBD2",0,0,0
"CRHR1","CRHR1",0,0,0
"GPR6","GPR6",0,0,0
"ZNF200","ZNF200",0,0,0
